x y dx dy
-1.396263402	2.103333333	0.00872665	0.03
-1.221730476	2.068666667	0.00872665	0.03
-1.047197551	2.030333333	0.00872665	0.03
-0.872664626	2.010666667 0.00872665	0.03
-0.6981317008	1.988	    0.00872665	0.03
-0.5235987756	1.975666667	0.00872665	0.03
-0.3490658504	1.956666667	0.00872665	0.03
0.3490658504	1.962666667	0.00872665	0.03
0.5235987756	1.970666667	0.00872665	0.03
0.6981317008	1.992333333	0.00872665	0.03
0.872664626	    2.015333333	0.00872665	0.03
1.047197551	    2.04	    0.00872665	0.03
1.221730476	    2.072666667	0.00872665	0.03
1.396263402	    2.099	    0.00872665	0.03
